연도,구명,일일인구,10대인구,20대인구,30대인구,40대인구,50대인구,60대이상인구,월요일인구,화요일인구,수요일인구,목요일인구,금요일인구,토요일인구,일요일인구,남성인구,여성인구
2018Y 4Q,금천구,56641,1500,12234,12491,10129,11501,8764,8074,7888,7979,7916,8330,8420,8008,31086,25550
2018Y 4Q,노원구,76825,6900,22444,12121,11996,12916,10423,10482,10471,10477,10289,11380,12371,11327,37338,39484
2018Y 4Q,도봉구,51936,2639,10075,8546,9075,11285,10285,7204,7155,7163,7137,7506,7755,7977,26566,25363
2018Y 4Q,동대문구,182408,10255,56964,31192,26467,28884,28614,26271,26297,26544,26496,26927,25670,24159,96266,86134
2018Y 4Q,동작구,186777,10871,64437,34287,25195,26348,25605,26818,26698,26760,26614,27778,27524,24543,96175,90595
2018Y 4Q,마포구,320100,20943,123875,68951,46365,34389,25539,44693,44437,44363,44515,48116,49886,44044,154002,166091
2018Y 4Q,서대문구,182926,11613,73996,32527,25348,21847,17560,26540,26338,26240,26524,27490,25658,24095,86925,95993
2018Y 4Q,서초구,259807,11900,71414,61775,46804,36934,30950,38417,37968,39280,40227,41993,34275,27607,138123,121676
2018Y 4Q,성동구,105369,5058,28987,22874,17649,17123,13643,15162,15114,15357,15310,15892,14834,13661,55451,49910
2018Y 4Q,성북구,164447,14603,58744,26071,23006,22366,19616,23552,23445,23760,23573,23739,23620,22705,79705,84731
2018Y 4Q,송파구,135063,7957,31763,30207,23534,22722,18844,18768,18810,18943,19008,20174,20305,19007,69832,65224
2018Y 4Q,양천구,84567,6361,15868,16133,16004,16348,13812,11902,11733,11791,11620,12308,12823,12337,43743,40815
2018Y 4Q,영등포구,205409,6443,49911,45042,36157,36735,31074,28966,28562,29027,28926,30509,30315,29052,109033,96368
2018Y 4Q,용산구,118895,4891,40575,29246,18577,14281,11284,16469,16202,16346,16377,17520,18493,17445,60373,58516
2018Y 4Q,은평구,168060,13394,38459,30506,28092,29738,27834,23643,23244,23169,22849,24553,25606,24951,82671,85382
2018Y 4Q,종로구,191611,8874,60068,37609,30554,28677,25794,26960,27482,27950,28170,29912,28752,22338,101196,90408
2018Y 4Q,중구,182296,5257,43807,42501,33940,31356,25398,27854,28024,28508,29005,29416,22218,17231,95904,86385
2018Y 4Q,중랑구,100422,5279,20373,18899,16784,20988,18063,14066,13811,13775,13617,14283,15354,15472,51064,49350
2019Y 1Q,강남구,890470,100247,176391,202521,161110,105226,144931,131207,131262,135131,139682,137978,114101,101054,436520,453944
